Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,48,Mouse,FVB_WT,35750.56447
hCSF1,66.67,48,Mouse,FVB_WT,13177.25321
hCSF1,22.22,48,Mouse,FVB_WT,7757.171459
hCSF1,7.41,48,Mouse,FVB_WT,1827.161247
hCSF1,2.47,48,Mouse,FVB_WT,1162.420472
hCSF1,0.82,48,Mouse,FVB_WT,1062.304688
hCSF1,0.27,48,Mouse,FVB_WT,916.746447
hCSF1,0.09,48,Mouse,FVB_WT,986.619016
hCSF1,0.03,48,Mouse,FVB_WT,745.884987
hCSF1,0.01,48,Mouse,FVB_WT,797.7297312
hCSF1,200.00,48,Mouse,FVB_WT,78034.23455
hCSF1,66.67,48,Mouse,FVB_WT,21848.19121
hCSF1,22.22,48,Mouse,FVB_WT,12685.0536
hCSF1,7.41,48,Mouse,FVB_WT,3049.121364
hCSF1,2.47,48,Mouse,FVB_WT,1218.768455
hCSF1,0.82,48,Mouse,FVB_WT,1024.757736
hCSF1,0.27,48,Mouse,FVB_WT,1159.330738
hCSF1,0.09,48,Mouse,FVB_WT,1086.157345
hCSF1,0.03,48,Mouse,FVB_WT,839.5132774
hCSF1,0.01,48,Mouse,FVB_WT,904.3802854
mCSF1,200.00,48,Mouse,FVB_WT,35827.34804
mCSF1,66.67,48,Mouse,FVB_WT,67261.93704
mCSF1,22.22,48,Mouse,FVB_WT,38723.60156
mCSF1,7.41,48,Mouse,FVB_WT,1973.905909
mCSF1,2.47,48,Mouse,FVB_WT,1336.784975
mCSF1,0.82,48,Mouse,FVB_WT,1179.229499
mCSF1,0.27,48,Mouse,FVB_WT,1109.853327
mCSF1,0.09,48,Mouse,FVB_WT,937.5843867
mCSF1,0.03,48,Mouse,FVB_WT,904.3262453
mCSF1,0.01,48,Mouse,FVB_WT,886.3620018
mCSF1,200.00,48,Mouse,FVB_WT,38216.6324
mCSF1,66.67,48,Mouse,FVB_WT,74464.34439
mCSF1,22.22,48,Mouse,FVB_WT,28885.55273
mCSF1,7.41,48,Mouse,FVB_WT,1960.871921
mCSF1,2.47,48,Mouse,FVB_WT,1250.74395
mCSF1,0.82,48,Mouse,FVB_WT,1120.569853
mCSF1,0.27,48,Mouse,FVB_WT,1083.037233
mCSF1,0.09,48,Mouse,FVB_WT,1130.335397
mCSF1,0.03,48,Mouse,FVB_WT,1026.302247
mCSF1,0.01,48,Mouse,FVB_WT,944.5996156
PLX3397,20000.00,48,Mouse,FVB_WT,3371.145269
PLX3397,6666.67,48,Mouse,FVB_WT,1789.774874
PLX3397,2222.22,48,Mouse,FVB_WT,1068.641477
PLX3397,740.74,48,Mouse,FVB_WT,1035.635462
PLX3397,246.91,48,Mouse,FVB_WT,998.2741996
PLX3397,82.30,48,Mouse,FVB_WT,1221.021901
PLX3397,27.43,48,Mouse,FVB_WT,2110.650159
PLX3397,9.14,48,Mouse,FVB_WT,5499.853188
PLX3397,3.05,48,Mouse,FVB_WT,14282.81557
PLX3397,1.02,48,Mouse,FVB_WT,32293.29704
PLX3397,20000.00,48,Mouse,FVB_WT,2640.310738
PLX3397,6666.67,48,Mouse,FVB_WT,1705.202073
PLX3397,2222.22,48,Mouse,FVB_WT,1081.869993
PLX3397,740.74,48,Mouse,FVB_WT,835.2688161
PLX3397,246.91,48,Mouse,FVB_WT,1138.45955
PLX3397,82.30,48,Mouse,FVB_WT,1955.197965
PLX3397,27.43,48,Mouse,FVB_WT,2194.08284
PLX3397,9.14,48,Mouse,FVB_WT,5152.784846
PLX3397,3.05,48,Mouse,FVB_WT,9735.203444
PLX3397,1.02,48,Mouse,FVB_WT,18462.06993
