Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000.00,48,Mouse,G793A,1295.093221
PLX5622,6666.67,48,Mouse,G793A,869.754071
PLX5622,2222.22,48,Mouse,G793A,647.998384
PLX5622,740.74,48,Mouse,G793A,913.000015
PLX5622,246.91,48,Mouse,G793A,1166.743618
PLX5622,82.30,48,Mouse,G793A,1159.157002
PLX5622,27.43,48,Mouse,G793A,1201.149715
PLX5622,9.14,48,Mouse,G793A,1408.248987
PLX5622,3.05,48,Mouse,G793A,1430.623842
PLX5622,1.02,48,Mouse,G793A,1437.402303
PLX5622,20000.00,48,Mouse,G793A,1019.106124
PLX5622,6666.67,48,Mouse,G793A,926.820977
PLX5622,2222.22,48,Mouse,G793A,703.742077
PLX5622,740.74,48,Mouse,G793A,932.397288
PLX5622,246.91,48,Mouse,G793A,1356.829579
PLX5622,82.30,48,Mouse,G793A,1297.468833
PLX5622,27.43,48,Mouse,G793A,1175.523914
PLX5622,9.14,48,Mouse,G793A,1441.232615
PLX5622,3.05,48,Mouse,G793A,1501.339135
PLX5622,1.02,48,Mouse,G793A,1235.386044
GW2580,20000.00,48,Mouse,G793A,1394.297314
GW2580,6666.67,48,Mouse,G793A,1683.606689
GW2580,2222.22,48,Mouse,G793A,1401.598743
GW2580,740.74,48,Mouse,G793A,1368.712644
GW2580,246.91,48,Mouse,G793A,1600.135256
GW2580,82.30,48,Mouse,G793A,1525.160416
GW2580,27.43,48,Mouse,G793A,1358.814353
GW2580,9.14,48,Mouse,G793A,1360.503593
GW2580,3.05,48,Mouse,G793A,599.396785
GW2580,1.02,48,Mouse,G793A,1389.693259
GW2580,20000.00,48,Mouse,G793A,1489.609504
GW2580,6666.67,48,Mouse,G793A,1465.495008
GW2580,2222.22,48,Mouse,G793A,1569.311535
GW2580,740.74,48,Mouse,G793A,1394.98059
GW2580,246.91,48,Mouse,G793A,1575.978371
GW2580,82.30,48,Mouse,G793A,1449.024066
GW2580,27.43,48,Mouse,G793A,1312.360384
GW2580,9.14,48,Mouse,G793A,1382.346775
GW2580,3.05,48,Mouse,G793A,1460.592802
GW2580,1.02,48,Mouse,G793A,1345.593352
BLZ945,20000.00,48,Mouse,G793A,658.255555
BLZ945,6666.67,48,Mouse,G793A,679.349904
BLZ945,2222.22,48,Mouse,G793A,880.895856
BLZ945,740.74,48,Mouse,G793A,960.116046
BLZ945,246.91,48,Mouse,G793A,1247.869341
BLZ945,82.30,48,Mouse,G793A,1325.781534
BLZ945,27.43,48,Mouse,G793A,1055.622783
BLZ945,9.14,48,Mouse,G793A,1230.403267
BLZ945,3.05,48,Mouse,G793A,1467.362961
BLZ945,1.02,48,Mouse,G793A,1210.088189
BLZ945,20000.00,48,Mouse,G793A,852.257989
BLZ945,6666.67,48,Mouse,G793A,574.112446
BLZ945,2222.22,48,Mouse,G793A,729.442494
BLZ945,740.74,48,Mouse,G793A,1054.915271
BLZ945,246.91,48,Mouse,G793A,1116.750612
BLZ945,82.30,48,Mouse,G793A,1160.839494
BLZ945,27.43,48,Mouse,G793A,1154.921121
BLZ945,9.14,48,Mouse,G793A,1170.404388
BLZ945,3.05,48,Mouse,G793A,1188.911189
BLZ945,1.02,48,Mouse,G793A,1215.386015
