Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,0,Human,hWT,1808.505476
hCSF1,66.67,0,Human,hWT,1455.221599
hCSF1,22.22,0,Human,hWT,1355.602498
hCSF1,7.41,0,Human,hWT,1026.120968
hCSF1,2.47,0,Human,hWT,1227.487101
hCSF1,0.82,0,Human,hWT,1089.647782
hCSF1,0.27,0,Human,hWT,929.744829
hCSF1,0.09,0,Human,hWT,962.91387
hCSF1,0.03,0,Human,hWT,1095.393129
hCSF1,0.01,0,Human,hWT,1841.80985
hCSF1,200.00,0,Human,hWT,1490.144992
hCSF1,66.67,0,Human,hWT,1677.735199
hCSF1,22.22,0,Human,hWT,1521.945619
hCSF1,7.41,0,Human,hWT,1183.456275
hCSF1,2.47,0,Human,hWT,1263.450102
hCSF1,0.82,0,Human,hWT,1320.479276
hCSF1,0.27,0,Human,hWT,1248.619825
hCSF1,0.09,0,Human,hWT,1283.955637
hCSF1,0.03,0,Human,hWT,1375.873745
hCSF1,0.01,0,Human,hWT,1404.662133
hCSF1,200.00,0,Human,hWT,1739.558681
hCSF1,66.67,0,Human,hWT,1742.037016
hCSF1,22.22,0,Human,hWT,1519.937273
hCSF1,7.41,0,Human,hWT,1322.358135
hCSF1,2.47,0,Human,hWT,1151.639057
hCSF1,0.82,0,Human,hWT,1354.886916
hCSF1,0.27,0,Human,hWT,1381.885954
hCSF1,0.09,0,Human,hWT,1293.433186
hCSF1,0.03,0,Human,hWT,1519.256395
hCSF1,0.01,0,Human,hWT,1355.909769
mCSF1,200.00,0,Human,hWT,1599.877243
mCSF1,66.67,0,Human,hWT,1559.875802
mCSF1,22.22,0,Human,hWT,1383.861755
mCSF1,7.41,0,Human,hWT,1344.851795
mCSF1,2.47,0,Human,hWT,1295.915127
mCSF1,0.82,0,Human,hWT,1436.011374
mCSF1,0.27,0,Human,hWT,1240.659015
mCSF1,0.09,0,Human,hWT,1313.305459
mCSF1,0.03,0,Human,hWT,1265.146727
mCSF1,0.01,0,Human,hWT,1433.678058
mCSF1,200.00,0,Human,hWT,1552.177242
mCSF1,66.67,0,Human,hWT,1721.000584
mCSF1,22.22,0,Human,hWT,1497.753991
mCSF1,7.41,0,Human,hWT,1177.419006
mCSF1,2.47,0,Human,hWT,1694.885028
mCSF1,0.82,0,Human,hWT,1390.714618
mCSF1,0.27,0,Human,hWT,1202.211677
mCSF1,0.09,0,Human,hWT,1298.621064
mCSF1,0.03,0,Human,hWT,1187.900522
mCSF1,0.01,0,Human,hWT,1483.039129
mCSF1,200.00,0,Human,hWT,1668.673058
mCSF1,66.67,0,Human,hWT,1657.790936
mCSF1,22.22,0,Human,hWT,1456.559083
mCSF1,7.41,0,Human,hWT,1195.528485
mCSF1,2.47,0,Human,hWT,1280.10094
mCSF1,0.82,0,Human,hWT,1420.310654
mCSF1,0.27,0,Human,hWT,1163.191772
mCSF1,0.09,0,Human,hWT,884.752853
mCSF1,0.03,0,Human,hWT,1207.171703
mCSF1,0.01,0,Human,hWT,1350.138713
