Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200.00,24,Mouse,G793A,1361.302888
hCSF1,66.67,24,Mouse,G793A,1156.340197
hCSF1,22.22,24,Mouse,G793A,1131.178136
hCSF1,7.41,24,Mouse,G793A,978.217409
hCSF1,2.47,24,Mouse,G793A,929.235383
hCSF1,0.82,24,Mouse,G793A,786.170517
hCSF1,0.27,24,Mouse,G793A,741.462517
hCSF1,0.09,24,Mouse,G793A,815.063417
hCSF1,0.03,24,Mouse,G793A,881.62823
hCSF1,0.01,24,Mouse,G793A,721.876835
hCSF1,200.00,24,Mouse,G793A,1454.959737
hCSF1,66.67,24,Mouse,G793A,1349.409774
hCSF1,22.22,24,Mouse,G793A,1128.268693
hCSF1,7.41,24,Mouse,G793A,1157.42028
hCSF1,2.47,24,Mouse,G793A,1066.644791
hCSF1,0.82,24,Mouse,G793A,1036.831668
hCSF1,0.27,24,Mouse,G793A,890.566253
hCSF1,0.09,24,Mouse,G793A,862.644663
hCSF1,0.03,24,Mouse,G793A,860.609835
hCSF1,0.01,24,Mouse,G793A,748.158487
mCSF1,200.00,24,Mouse,G793A,1307.725545
mCSF1,66.67,24,Mouse,G793A,1257.664073
mCSF1,22.22,24,Mouse,G793A,1272.617867
mCSF1,7.41,24,Mouse,G793A,1201.597421
mCSF1,2.47,24,Mouse,G793A,1110.503153
mCSF1,0.82,24,Mouse,G793A,957.748385
mCSF1,0.27,24,Mouse,G793A,882.484191
mCSF1,0.09,24,Mouse,G793A,923.661974
mCSF1,0.03,24,Mouse,G793A,959.306935
mCSF1,0.01,24,Mouse,G793A,978.668331
mCSF1,200.00,24,Mouse,G793A,1395.508464
mCSF1,66.67,24,Mouse,G793A,1375.350798
mCSF1,22.22,24,Mouse,G793A,1217.504424
mCSF1,7.41,24,Mouse,G793A,1158.379389
mCSF1,2.47,24,Mouse,G793A,1060.977511
mCSF1,0.82,24,Mouse,G793A,983.388117
mCSF1,0.27,24,Mouse,G793A,916.034898
mCSF1,0.09,24,Mouse,G793A,913.815864
mCSF1,0.03,24,Mouse,G793A,879.722542
mCSF1,0.01,24,Mouse,G793A,883.247631
PLX3397,20000.00,24,Mouse,G793A,1347.916717
PLX3397,6666.67,24,Mouse,G793A,1135.558076
PLX3397,2222.22,24,Mouse,G793A,846.553379
PLX3397,740.74,24,Mouse,G793A,985.737574
PLX3397,246.91,24,Mouse,G793A,1138.114074
PLX3397,82.30,24,Mouse,G793A,1241.943292
PLX3397,27.43,24,Mouse,G793A,1173.662961
PLX3397,9.14,24,Mouse,G793A,1148.939792
PLX3397,3.05,24,Mouse,G793A,1273.607234
PLX3397,1.02,24,Mouse,G793A,1204.171737
PLX3397,20000.00,24,Mouse,G793A,1325.480134
PLX3397,6666.67,24,Mouse,G793A,1194.20055
PLX3397,2222.22,24,Mouse,G793A,1022.905479
PLX3397,740.74,24,Mouse,G793A,1020.994068
PLX3397,246.91,24,Mouse,G793A,1174.68949
PLX3397,82.30,24,Mouse,G793A,1228.437347
PLX3397,27.43,24,Mouse,G793A,1059.526323
PLX3397,9.14,24,Mouse,G793A,1069.328831
PLX3397,3.05,24,Mouse,G793A,1053.323905
PLX3397,1.02,24,Mouse,G793A,948.191
