Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000.00,24,Human,G795A,1233.96754
PLX3397,6666.67,24,Human,G795A,1174.449916
PLX3397,2222.22,24,Human,G795A,1439.924568
PLX3397,740.74,24,Human,G795A,1753.188816
PLX3397,246.91,24,Human,G795A,1906.232921
PLX3397,82.30,24,Human,G795A,1972.938374
PLX3397,27.43,24,Human,G795A,2026.851928
PLX3397,9.14,24,Human,G795A,1932.648109
PLX3397,3.05,24,Human,G795A,2032.45791
PLX3397,1.02,24,Human,G795A,2261.504651
PLX3397,20000.00,24,Human,G795A,1295.3787
PLX3397,6666.67,24,Human,G795A,1193.256286
PLX3397,2222.22,24,Human,G795A,1528.516742
PLX3397,740.74,24,Human,G795A,1606.685441
PLX3397,246.91,24,Human,G795A,2045.467035
PLX3397,82.30,24,Human,G795A,2157.300092
PLX3397,27.43,24,Human,G795A,1993.238411
PLX3397,9.14,24,Human,G795A,2191.931609
PLX3397,3.05,24,Human,G795A,2194.817454
PLX3397,1.02,24,Human,G795A,1967.441918
PLX3397,20000.00,24,Human,G795A,1419.882527
PLX3397,6666.67,24,Human,G795A,1185.362795
PLX3397,2222.22,24,Human,G795A,1367.722423
PLX3397,740.74,24,Human,G795A,1570.611536
PLX3397,246.91,24,Human,G795A,2123.989024
PLX3397,82.30,24,Human,G795A,2132.180283
PLX3397,27.43,24,Human,G795A,2006.697318
PLX3397,9.14,24,Human,G795A,1862.722696
PLX3397,3.05,24,Human,G795A,2036.252392
PLX3397,1.02,24,Human,G795A,2081.75543
PLX5622,20000.00,24,Human,G795A,1241.611917
PLX5622,6666.67,24,Human,G795A,1235.754707
PLX5622,2222.22,24,Human,G795A,1550.838505
PLX5622,740.74,24,Human,G795A,2098.440437
PLX5622,246.91,24,Human,G795A,2098.220216
PLX5622,82.30,24,Human,G795A,2303.448822
PLX5622,27.43,24,Human,G795A,2198.507017
PLX5622,9.14,24,Human,G795A,2132.386836
PLX5622,3.05,24,Human,G795A,2266.815192
PLX5622,1.02,24,Human,G795A,2049.601111
PLX5622,20000.00,24,Human,G795A,1241.102553
PLX5622,6666.67,24,Human,G795A,1209.712896
PLX5622,2222.22,24,Human,G795A,1640.195978
PLX5622,740.74,24,Human,G795A,1641.281347
PLX5622,246.91,24,Human,G795A,1968.086203
PLX5622,82.30,24,Human,G795A,2006.85599
PLX5622,27.43,24,Human,G795A,1881.15507
PLX5622,9.14,24,Human,G795A,2326.874236
PLX5622,3.05,24,Human,G795A,2004.228636
PLX5622,1.02,24,Human,G795A,1984.327263
PLX5622,20000.00,24,Human,G795A,1393.140061
PLX5622,6666.67,24,Human,G795A,1153.525317
PLX5622,2222.22,24,Human,G795A,1621.246603
PLX5622,740.74,24,Human,G795A,1829.380185
PLX5622,246.91,24,Human,G795A,1937.068467
PLX5622,82.30,24,Human,G795A,1962.611982
PLX5622,27.43,24,Human,G795A,1989.956232
PLX5622,9.14,24,Human,G795A,2132.7804
PLX5622,3.05,24,Human,G795A,2038.210517
PLX5622,1.02,24,Human,G795A,2097.264417
