Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000.00,24,Mouse,FVB_WT,4873.677332
PLX5622,6666.67,24,Mouse,FVB_WT,3017.969857
PLX5622,2222.22,24,Mouse,FVB_WT,1955.613527
PLX5622,740.74,24,Mouse,FVB_WT,1504.858161
PLX5622,246.91,24,Mouse,FVB_WT,2238.603285
PLX5622,82.30,24,Mouse,FVB_WT,5425.110306
PLX5622,27.43,24,Mouse,FVB_WT,13649.03739
PLX5622,9.14,24,Mouse,FVB_WT,20309.16955
PLX5622,3.05,24,Mouse,FVB_WT,19240.56011
PLX5622,1.02,24,Mouse,FVB_WT,44663.35938
PLX5622,20000.00,24,Mouse,FVB_WT,4090.778083
PLX5622,6666.67,24,Mouse,FVB_WT,3665.857164
PLX5622,2222.22,24,Mouse,FVB_WT,2615.336086
PLX5622,740.74,24,Mouse,FVB_WT,1760.276984
PLX5622,246.91,24,Mouse,FVB_WT,2181.637
PLX5622,82.30,24,Mouse,FVB_WT,5205.644972
PLX5622,27.43,24,Mouse,FVB_WT,20289.15128
PLX5622,9.14,24,Mouse,FVB_WT,17949.10932
PLX5622,3.05,24,Mouse,FVB_WT,44129.67384
PLX5622,1.02,24,Mouse,FVB_WT,15168.79803
GW2580,20000.00,24,Mouse,FVB_WT,5978.27024
GW2580,6666.67,24,Mouse,FVB_WT,3685.498098
GW2580,2222.22,24,Mouse,FVB_WT,2476.59535
GW2580,740.74,24,Mouse,FVB_WT,2775.42119
GW2580,246.91,24,Mouse,FVB_WT,5181.250942
GW2580,82.30,24,Mouse,FVB_WT,14640.4524
GW2580,27.43,24,Mouse,FVB_WT,14540.8618
GW2580,9.14,24,Mouse,FVB_WT,25150.42373
GW2580,3.05,24,Mouse,FVB_WT,22314.17218
GW2580,1.02,24,Mouse,FVB_WT,14730.38741
GW2580,20000.00,24,Mouse,FVB_WT,5628.490585
GW2580,6666.67,24,Mouse,FVB_WT,2966.819354
GW2580,2222.22,24,Mouse,FVB_WT,2035.038105
GW2580,740.74,24,Mouse,FVB_WT,2592.609496
GW2580,246.91,24,Mouse,FVB_WT,6351.911066
GW2580,82.30,24,Mouse,FVB_WT,10727.83242
GW2580,27.43,24,Mouse,FVB_WT,23996.66839
GW2580,9.14,24,Mouse,FVB_WT,17206.63705
GW2580,3.05,24,Mouse,FVB_WT,16627.83174
GW2580,1.02,24,Mouse,FVB_WT,16817.50318
BLZ945,20000.00,24,Mouse,FVB_WT,2976.381227
BLZ945,6666.67,24,Mouse,FVB_WT,1831.361607
BLZ945,2222.22,24,Mouse,FVB_WT,1369.253616
BLZ945,740.74,24,Mouse,FVB_WT,1762.962005
BLZ945,246.91,24,Mouse,FVB_WT,3815.396869
BLZ945,82.30,24,Mouse,FVB_WT,8879.547704
BLZ945,27.43,24,Mouse,FVB_WT,24561.49277
BLZ945,9.14,24,Mouse,FVB_WT,20021.00497
BLZ945,3.05,24,Mouse,FVB_WT,52203.42624
BLZ945,1.02,24,Mouse,FVB_WT,11782.00827
BLZ945,20000.00,24,Mouse,FVB_WT,2963.450726
BLZ945,6666.67,24,Mouse,FVB_WT,2010.589655
BLZ945,2222.22,24,Mouse,FVB_WT,1626.111006
BLZ945,740.74,24,Mouse,FVB_WT,1641.351731
BLZ945,246.91,24,Mouse,FVB_WT,4217.406014
BLZ945,82.30,24,Mouse,FVB_WT,9556.657218
BLZ945,27.43,24,Mouse,FVB_WT,15549.19243
BLZ945,9.14,24,Mouse,FVB_WT,11727.11503
BLZ945,3.05,24,Mouse,FVB_WT,17857.47943
BLZ945,1.02,24,Mouse,FVB_WT,37315.75029
