Compound,Concentration,Hour,Species,Variant,Value
PLX3397,20000,72,Human,hWT,959.21741
PLX3397,6666.67,72,Human,hWT,466.67339
PLX3397,2222.22,72,Human,hWT,226.78787
PLX3397,740.74,72,Human,hWT,190.315433
PLX3397,246.91,72,Human,hWT,257.575848
PLX3397,82.3,72,Human,hWT,713.748405
PLX3397,27.43,72,Human,hWT,1179.302656
PLX3397,9.14,72,Human,hWT,1650.251117
PLX3397,3.05,72,Human,hWT,1591.327969
PLX3397,1.02,72,Human,hWT,1795.538481
PLX3397,20000,72,Human,hWT,736.545535
PLX3397,6666.67,72,Human,hWT,619.780513
PLX3397,2222.22,72,Human,hWT,233.461616
PLX3397,740.74,72,Human,hWT,189.772384
PLX3397,246.91,72,Human,hWT,260.3859
PLX3397,82.3,72,Human,hWT,639.894916
PLX3397,27.43,72,Human,hWT,1203.001762
PLX3397,9.14,72,Human,hWT,1318.601125
PLX3397,3.05,72,Human,hWT,1514.350081
PLX3397,1.02,72,Human,hWT,1265.502967
PLX3397,20000,72,Human,hWT,945.694089
PLX3397,6666.67,72,Human,hWT,515.395229
PLX3397,2222.22,72,Human,hWT,263.547023
PLX3397,740.74,72,Human,hWT,236.478618
PLX3397,246.91,72,Human,hWT,302.115633
PLX3397,82.3,72,Human,hWT,764.626528
PLX3397,27.43,72,Human,hWT,1433.605726
PLX3397,9.14,72,Human,hWT,1600.312754
PLX3397,3.05,72,Human,hWT,1575.962881
PLX3397,1.02,72,Human,hWT,1739.517315
PLX5622,20000,72,Human,hWT,865.358651
PLX5622,6666.67,72,Human,hWT,541.090603
PLX5622,2222.22,72,Human,hWT,276.859925
PLX5622,740.74,72,Human,hWT,260.013535
PLX5622,246.91,72,Human,hWT,416.88096
PLX5622,82.3,72,Human,hWT,693.871624
PLX5622,27.43,72,Human,hWT,1004.767285
PLX5622,9.14,72,Human,hWT,1026.49296
PLX5622,3.05,72,Human,hWT,1347.516087
PLX5622,1.02,72,Human,hWT,1320.400085
PLX5622,20000,72,Human,hWT,881.196325
PLX5622,6666.67,72,Human,hWT,409.159416
PLX5622,2222.22,72,Human,hWT,237.369126
PLX5622,740.74,72,Human,hWT,257.629272
PLX5622,246.91,72,Human,hWT,427.523716
PLX5622,82.3,72,Human,hWT,645.93749
PLX5622,27.43,72,Human,hWT,855.257393
PLX5622,9.14,72,Human,hWT,982.082395
PLX5622,3.05,72,Human,hWT,1327.772404
PLX5622,1.02,72,Human,hWT,1214.839098
PLX5622,20000,72,Human,hWT,907.80977
PLX5622,6666.67,72,Human,hWT,355.264188
PLX5622,2222.22,72,Human,hWT,239.243078
PLX5622,740.74,72,Human,hWT,223.790516
PLX5622,246.91,72,Human,hWT,413.296936
PLX5622,82.3,72,Human,hWT,659.785534
PLX5622,27.43,72,Human,hWT,894.502384
PLX5622,9.14,72,Human,hWT,1078.381656
PLX5622,3.05,72,Human,hWT,1341.87394
PLX5622,1.02,72,Human,hWT,1401.852273
