Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,72,Mouse,mWT,1047.239984
PLX5622,6666.67,72,Mouse,mWT,670.421042
PLX5622,2222.22,72,Mouse,mWT,353.81166
PLX5622,740.74,72,Mouse,mWT,218.396928
PLX5622,246.91,72,Mouse,mWT,291.712677
PLX5622,82.3,72,Mouse,mWT,553.071502
PLX5622,27.43,72,Mouse,mWT,1042.391535
PLX5622,9.14,72,Mouse,mWT,1556.496013
PLX5622,3.05,72,Mouse,mWT,1856.768634
PLX5622,1.02,72,Mouse,mWT,2051.767101
PLX5622,20000,72,Mouse,mWT,1027.99423
PLX5622,6666.67,72,Mouse,mWT,730.574906
PLX5622,2222.22,72,Mouse,mWT,237.199234
PLX5622,740.74,72,Mouse,mWT,294.377273
PLX5622,246.91,72,Mouse,mWT,394.233062
PLX5622,82.3,72,Mouse,mWT,751.323252
PLX5622,27.43,72,Mouse,mWT,1227.979296
PLX5622,9.14,72,Mouse,mWT,1669.784003
PLX5622,3.05,72,Mouse,mWT,2077.26779
PLX5622,1.02,72,Mouse,mWT,1917.429218
GW2580,20000,72,Mouse,mWT,963.248709
GW2580,6666.67,72,Mouse,mWT,672.341432
GW2580,2222.22,72,Mouse,mWT,569.840626
GW2580,740.74,72,Mouse,mWT,452.23675
GW2580,246.91,72,Mouse,mWT,789.623826
GW2580,82.3,72,Mouse,mWT,1817.810513
GW2580,27.43,72,Mouse,mWT,2373.071276
GW2580,9.14,72,Mouse,mWT,2497.956465
GW2580,3.05,72,Mouse,mWT,2484.688778
GW2580,1.02,72,Mouse,mWT,2247.349218
GW2580,20000,72,Mouse,mWT,917.166306
GW2580,6666.67,72,Mouse,mWT,708.51145
GW2580,2222.22,72,Mouse,mWT,522.47442
GW2580,740.74,72,Mouse,mWT,480.442844
GW2580,246.91,72,Mouse,mWT,946.636898
GW2580,82.3,72,Mouse,mWT,2026.860731
GW2580,27.43,72,Mouse,mWT,2282.181503
GW2580,9.14,72,Mouse,mWT,2507.227532
GW2580,3.05,72,Mouse,mWT,2539.04658
GW2580,1.02,72,Mouse,mWT,2083.792471
BLZ945,20000,72,Mouse,mWT,699.718388
BLZ945,6666.67,72,Mouse,mWT,378.377566
BLZ945,2222.22,72,Mouse,mWT,290.243231
BLZ945,740.74,72,Mouse,mWT,300.756594
BLZ945,246.91,72,Mouse,mWT,523.649501
BLZ945,82.3,72,Mouse,mWT,1247.717315
BLZ945,27.43,72,Mouse,mWT,1924.895443
BLZ945,9.14,72,Mouse,mWT,2404.654711
BLZ945,3.05,72,Mouse,mWT,2567.742478
BLZ945,1.02,72,Mouse,mWT,2235.01831
BLZ945,20000,72,Mouse,mWT,576.824596
BLZ945,6666.67,72,Mouse,mWT,306.924026
BLZ945,2222.22,72,Mouse,mWT,221.419606
BLZ945,740.74,72,Mouse,mWT,234.583415
BLZ945,246.91,72,Mouse,mWT,408.845892
BLZ945,82.3,72,Mouse,mWT,1033.742167
BLZ945,27.43,72,Mouse,mWT,1688.19193
BLZ945,9.14,72,Mouse,mWT,2042.57634
BLZ945,3.05,72,Mouse,mWT,2073.923843
BLZ945,1.02,72,Mouse,mWT,2222.888076
