Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000.00,24,Mouse,mWT,1582.495243
PLX5622,6666.67,24,Mouse,mWT,1370.396797
PLX5622,2222.22,24,Mouse,mWT,1052.901747
PLX5622,740.74,24,Mouse,mWT,866.856258
PLX5622,246.91,24,Mouse,mWT,1013.789191
PLX5622,82.30,24,Mouse,mWT,1536.672515
PLX5622,27.43,24,Mouse,mWT,1899.11048
PLX5622,9.14,24,Mouse,mWT,2006.824824
PLX5622,3.05,24,Mouse,mWT,2043.584585
PLX5622,1.02,24,Mouse,mWT,2287.512547
PLX5622,20000.00,24,Mouse,mWT,1521.881058
PLX5622,6666.67,24,Mouse,mWT,1477.594204
PLX5622,2222.22,24,Mouse,mWT,792.526073
PLX5622,740.74,24,Mouse,mWT,1109.967905
PLX5622,246.91,24,Mouse,mWT,1348.630861
PLX5622,82.30,24,Mouse,mWT,2046.714082
PLX5622,27.43,24,Mouse,mWT,2067.468621
PLX5622,9.14,24,Mouse,mWT,2353.153405
PLX5622,3.05,24,Mouse,mWT,2397.273152
PLX5622,1.02,24,Mouse,mWT,1952.269685
GW2580,20000.00,24,Mouse,mWT,1530.52332
GW2580,6666.67,24,Mouse,mWT,1442.118197
GW2580,2222.22,24,Mouse,mWT,1473.787281
GW2580,740.74,24,Mouse,mWT,1344.012202
GW2580,246.91,24,Mouse,mWT,1721.433083
GW2580,82.30,24,Mouse,mWT,2329.80621
GW2580,27.43,24,Mouse,mWT,2375.414966
GW2580,9.14,24,Mouse,mWT,2449.046531
GW2580,3.05,24,Mouse,mWT,2344.367264
GW2580,1.02,24,Mouse,mWT,2058.048359
GW2580,20000.00,24,Mouse,mWT,1456.198986
GW2580,6666.67,24,Mouse,mWT,1475.977054
GW2580,2222.22,24,Mouse,mWT,1392.176374
GW2580,740.74,24,Mouse,mWT,1438.485133
GW2580,246.91,24,Mouse,mWT,1868.563365
GW2580,82.30,24,Mouse,mWT,2337.408693
GW2580,27.43,24,Mouse,mWT,2220.045651
GW2580,9.14,24,Mouse,mWT,2377.765209
GW2580,3.05,24,Mouse,mWT,2278.058201
GW2580,1.02,24,Mouse,mWT,1955.485106
BLZ945,20000.00,24,Mouse,mWT,1406.901115
BLZ945,6666.67,24,Mouse,mWT,1264.672197
BLZ945,2222.22,24,Mouse,mWT,1102.911234
BLZ945,740.74,24,Mouse,mWT,1181.269778
BLZ945,246.91,24,Mouse,mWT,1694.216689
BLZ945,82.30,24,Mouse,mWT,2202.2408
BLZ945,27.43,24,Mouse,mWT,1990.989264
BLZ945,9.14,24,Mouse,mWT,2380.958027
BLZ945,3.05,24,Mouse,mWT,2453.399252
BLZ945,1.02,24,Mouse,mWT,2126.420643
BLZ945,20000.00,24,Mouse,mWT,1239.749247
BLZ945,6666.67,24,Mouse,mWT,1112.520264
BLZ945,2222.22,24,Mouse,mWT,938.307361
BLZ945,740.74,24,Mouse,mWT,999.364888
BLZ945,246.91,24,Mouse,mWT,1370.564927
BLZ945,82.30,24,Mouse,mWT,1643.337443
BLZ945,27.43,24,Mouse,mWT,1752.312497
BLZ945,9.14,24,Mouse,mWT,1911.053185
BLZ945,3.05,24,Mouse,mWT,1966.728453
BLZ945,1.02,24,Mouse,mWT,1994.786088
