Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000.00,24,Human,G795A,1985.734545
GW2580,6666.67,24,Human,G795A,2307.42183
GW2580,2222.22,24,Human,G795A,2454.41267
GW2580,740.74,24,Human,G795A,2214.097099
GW2580,246.91,24,Human,G795A,2192.332866
GW2580,82.30,24,Human,G795A,2285.912588
GW2580,27.43,24,Human,G795A,2276.889734
GW2580,9.14,24,Human,G795A,2258.014442
GW2580,3.05,24,Human,G795A,2537.167933
GW2580,1.02,24,Human,G795A,2356.29868
GW2580,20000.00,24,Human,G795A,1638.746147
GW2580,6666.67,24,Human,G795A,2371.931344
GW2580,2222.22,24,Human,G795A,2345.241113
GW2580,740.74,24,Human,G795A,1708.277052
GW2580,246.91,24,Human,G795A,2300.416426
GW2580,82.30,24,Human,G795A,2386.680651
GW2580,27.43,24,Human,G795A,2158.703282
GW2580,9.14,24,Human,G795A,2364.328864
GW2580,3.05,24,Human,G795A,2417.464142
GW2580,1.02,24,Human,G795A,2244.191054
GW2580,20000.00,24,Human,G795A,1854.778812
GW2580,6666.67,24,Human,G795A,2209.034946
GW2580,2222.22,24,Human,G795A,2342.018185
GW2580,740.74,24,Human,G795A,2213.444667
GW2580,246.91,24,Human,G795A,2370.970225
GW2580,82.30,24,Human,G795A,2291.78423
GW2580,27.43,24,Human,G795A,2440.659964
GW2580,9.14,24,Human,G795A,2414.487245
GW2580,3.05,24,Human,G795A,2428.64116
GW2580,1.02,24,Human,G795A,2329.348903
BLZ945,20000.00,24,Human,G795A,1136.781874
BLZ945,6666.67,24,Human,G795A,1508.4187
BLZ945,2222.22,24,Human,G795A,2101.579867
BLZ945,740.74,24,Human,G795A,2078.835347
BLZ945,246.91,24,Human,G795A,2143.735121
BLZ945,82.30,24,Human,G795A,2563.799545
BLZ945,27.43,24,Human,G795A,2661.523388
BLZ945,9.14,24,Human,G795A,2497.830535
BLZ945,3.05,24,Human,G795A,2295.638359
BLZ945,1.02,24,Human,G795A,2559.556867
BLZ945,20000.00,24,Human,G795A,1065.63649
BLZ945,6666.67,24,Human,G795A,1697.139037
BLZ945,2222.22,24,Human,G795A,2181.539523
BLZ945,740.74,24,Human,G795A,1706.498302
BLZ945,246.91,24,Human,G795A,2206.533508
BLZ945,82.30,24,Human,G795A,2400.050674
BLZ945,27.43,24,Human,G795A,1958.424882
BLZ945,9.14,24,Human,G795A,2325.000599
BLZ945,3.05,24,Human,G795A,2397.619821
BLZ945,1.02,24,Human,G795A,2246.728694
BLZ945,20000.00,24,Human,G795A,1130.621523
BLZ945,6666.67,24,Human,G795A,1381.830463
BLZ945,2222.22,24,Human,G795A,2138.352239
BLZ945,740.74,24,Human,G795A,2193.492066
BLZ945,246.91,24,Human,G795A,2235.309899
BLZ945,82.30,24,Human,G795A,2256.635584
BLZ945,27.43,24,Human,G795A,2200.646023
BLZ945,9.14,24,Human,G795A,2309.165278
BLZ945,3.05,24,Human,G795A,2385.389623
BLZ945,1.02,24,Human,G795A,2520.818291
