Compound,Concentration,Hour,Species,Variant,Value
GW2580,20000,96,Human,hWT,1345.331828
GW2580,6666.67,96,Human,hWT,1059.278985
GW2580,2222.22,96,Human,hWT,785.499215
GW2580,740.74,96,Human,hWT,575.268083
GW2580,246.91,96,Human,hWT,605.904985
GW2580,82.3,96,Human,hWT,605.044982
GW2580,27.43,96,Human,hWT,562.174412
GW2580,9.14,96,Human,hWT,580.703873
GW2580,3.05,96,Human,hWT,652.315451
GW2580,1.02,96,Human,hWT,591.633346
GW2580,20000,96,Human,hWT,1443.165702
GW2580,6666.67,96,Human,hWT,1136.201416
GW2580,2222.22,96,Human,hWT,871.46425
GW2580,740.74,96,Human,hWT,590.81992
GW2580,246.91,96,Human,hWT,599.499527
GW2580,82.3,96,Human,hWT,650.467878
GW2580,27.43,96,Human,hWT,578.953829
GW2580,9.14,96,Human,hWT,630.310159
GW2580,3.05,96,Human,hWT,652.856113
GW2580,1.02,96,Human,hWT,584.061612
GW2580,20000,96,Human,hWT,1532.920946
GW2580,6666.67,96,Human,hWT,1144.236627
GW2580,2222.22,96,Human,hWT,777.1641
GW2580,740.74,96,Human,hWT,638.109486
GW2580,246.91,96,Human,hWT,646.621176
GW2580,82.3,96,Human,hWT,612.346031
GW2580,27.43,96,Human,hWT,656.222863
GW2580,9.14,96,Human,hWT,643.026468
GW2580,3.05,96,Human,hWT,733.191158
GW2580,1.02,96,Human,hWT,585.225758
BLZ945,20000,96,Human,hWT,165.649285
BLZ945,6666.67,96,Human,hWT,265.583886
BLZ945,2222.22,96,Human,hWT,409.521672
BLZ945,740.74,96,Human,hWT,555.390739
BLZ945,246.91,96,Human,hWT,543.132741
BLZ945,82.3,96,Human,hWT,628.367147
BLZ945,27.43,96,Human,hWT,626.834467
BLZ945,9.14,96,Human,hWT,709.134711
BLZ945,3.05,96,Human,hWT,625.536379
BLZ945,1.02,96,Human,hWT,629.639943
BLZ945,20000,96,Human,hWT,137.401313
BLZ945,6666.67,96,Human,hWT,371.98472
BLZ945,2222.22,96,Human,hWT,446.921925
BLZ945,740.74,96,Human,hWT,528.764312
BLZ945,246.91,96,Human,hWT,634.907621
BLZ945,82.3,96,Human,hWT,579.690574
BLZ945,27.43,96,Human,hWT,566.094031
BLZ945,9.14,96,Human,hWT,637.770638
BLZ945,3.05,96,Human,hWT,623.896057
BLZ945,1.02,96,Human,hWT,535.619386
BLZ945,20000,96,Human,hWT,143.116423
BLZ945,6666.67,96,Human,hWT,243.946338
BLZ945,2222.22,96,Human,hWT,448.945277
BLZ945,740.74,96,Human,hWT,532.269404
BLZ945,246.91,96,Human,hWT,541.471806
BLZ945,82.3,96,Human,hWT,575.941876
BLZ945,27.43,96,Human,hWT,557.444795
BLZ945,9.14,96,Human,hWT,658.649897
BLZ945,3.05,96,Human,hWT,665.488284
BLZ945,1.02,96,Human,hWT,637.561149
