Compound,Concentration,Hour,Species,Variant,Value
PLX5622,20000,96,Mouse,FVB_WT,1608.800959
PLX5622,6666.67,96,Mouse,FVB_WT,874.0248426
PLX5622,2222.22,96,Mouse,FVB_WT,614.1206556
PLX5622,740.74,96,Mouse,FVB_WT,591.389478
PLX5622,246.91,96,Mouse,FVB_WT,619.2784149
PLX5622,82.3,96,Mouse,FVB_WT,569.6653988
PLX5622,27.43,96,Mouse,FVB_WT,679.3347998
PLX5622,9.14,96,Mouse,FVB_WT,782.3466919
PLX5622,3.05,96,Mouse,FVB_WT,954.7591332
PLX5622,1.02,96,Mouse,FVB_WT,1011.146311
PLX5622,20000,96,Mouse,FVB_WT,1443.685525
PLX5622,6666.67,96,Mouse,FVB_WT,931.0350995
PLX5622,2222.22,96,Mouse,FVB_WT,715.638852
PLX5622,740.74,96,Mouse,FVB_WT,666.8948056
PLX5622,246.91,96,Mouse,FVB_WT,630.5167845
PLX5622,82.3,96,Mouse,FVB_WT,614.5376065
PLX5622,27.43,96,Mouse,FVB_WT,721.4870971
PLX5622,9.14,96,Mouse,FVB_WT,822.2956731
PLX5622,3.05,96,Mouse,FVB_WT,1017.957244
PLX5622,1.02,96,Mouse,FVB_WT,1215.79506
GW2580,20000,96,Mouse,FVB_WT,1842.240553
GW2580,6666.67,96,Mouse,FVB_WT,1147.058185
GW2580,2222.22,96,Mouse,FVB_WT,813.6472739
GW2580,740.74,96,Mouse,FVB_WT,705.0374588
GW2580,246.91,96,Mouse,FVB_WT,829.6661932
GW2580,82.3,96,Mouse,FVB_WT,1215.613075
GW2580,27.43,96,Mouse,FVB_WT,1435.336796
GW2580,9.14,96,Mouse,FVB_WT,1524.153245
GW2580,3.05,96,Mouse,FVB_WT,1412.454201
GW2580,1.02,96,Mouse,FVB_WT,1253.081145
GW2580,20000,96,Mouse,FVB_WT,1812.580737
GW2580,6666.67,96,Mouse,FVB_WT,1000.239814
GW2580,2222.22,96,Mouse,FVB_WT,750.1263397
GW2580,740.74,96,Mouse,FVB_WT,703.3148872
GW2580,246.91,96,Mouse,FVB_WT,962.4761029
GW2580,82.3,96,Mouse,FVB_WT,1269.908588
GW2580,27.43,96,Mouse,FVB_WT,1479.462249
GW2580,9.14,96,Mouse,FVB_WT,1534.273682
GW2580,3.05,96,Mouse,FVB_WT,1508.713896
GW2580,1.02,96,Mouse,FVB_WT,1419.566761
BLZ945,20000,96,Mouse,FVB_WT,912.2638081
BLZ945,6666.67,96,Mouse,FVB_WT,695.6209499
BLZ945,2222.22,96,Mouse,FVB_WT,608.5252841
BLZ945,740.74,96,Mouse,FVB_WT,658.913427
BLZ945,246.91,96,Mouse,FVB_WT,653.6648337
BLZ945,82.3,96,Mouse,FVB_WT,872.0921415
BLZ945,27.43,96,Mouse,FVB_WT,1373.478788
BLZ945,9.14,96,Mouse,FVB_WT,1496.250542
BLZ945,3.05,96,Mouse,FVB_WT,1447.38041
BLZ945,1.02,96,Mouse,FVB_WT,1464.630525
BLZ945,20000,96,Mouse,FVB_WT,895.1210597
BLZ945,6666.67,96,Mouse,FVB_WT,675.485921
BLZ945,2222.22,96,Mouse,FVB_WT,638.761646
BLZ945,740.74,96,Mouse,FVB_WT,610.1144076
BLZ945,246.91,96,Mouse,FVB_WT,596.092722
BLZ945,82.3,96,Mouse,FVB_WT,858.3463915
BLZ945,27.43,96,Mouse,FVB_WT,1257.573001
BLZ945,9.14,96,Mouse,FVB_WT,1368.455681
BLZ945,3.05,96,Mouse,FVB_WT,1446.610932
BLZ945,1.02,96,Mouse,FVB_WT,1408.425387
