Compound,Concentration,Hour,Species,Variant,Value
hCSF1,200,96,Mouse,mWT,3518.04036
hCSF1,66.67,96,Mouse,mWT,2875.03894
hCSF1,22.22,96,Mouse,mWT,942.083826
hCSF1,7.41,96,Mouse,mWT,328.484281
hCSF1,2.47,96,Mouse,mWT,210.827087
hCSF1,0.82,96,Mouse,mWT,179.197317
hCSF1,0.27,96,Mouse,mWT,141.869438
hCSF1,0.09,96,Mouse,mWT,122.613255
hCSF1,0.03,96,Mouse,mWT,120.350635
hCSF1,0.01,96,Mouse,mWT,127.950339
hCSF1,200,96,Mouse,mWT,3382.480751
hCSF1,66.67,96,Mouse,mWT,3174.664008
hCSF1,22.22,96,Mouse,mWT,1118.985365
hCSF1,7.41,96,Mouse,mWT,428.830919
hCSF1,2.47,96,Mouse,mWT,228.860664
hCSF1,0.82,96,Mouse,mWT,204.054022
hCSF1,0.27,96,Mouse,mWT,165.50936
hCSF1,0.09,96,Mouse,mWT,168.06922
hCSF1,0.03,96,Mouse,mWT,159.310193
hCSF1,0.01,96,Mouse,mWT,133.286471
mCSF1,200,96,Mouse,mWT,4027.893046
mCSF1,66.67,96,Mouse,mWT,2746.518994
mCSF1,22.22,96,Mouse,mWT,955.823019
mCSF1,7.41,96,Mouse,mWT,353.483957
mCSF1,2.47,96,Mouse,mWT,223.775189
mCSF1,0.82,96,Mouse,mWT,180.023489
mCSF1,0.27,96,Mouse,mWT,201.957955
mCSF1,0.09,96,Mouse,mWT,165.521981
mCSF1,0.03,96,Mouse,mWT,162.825751
mCSF1,0.01,96,Mouse,mWT,138.000499
mCSF1,200,96,Mouse,mWT,3320.84076
mCSF1,66.67,96,Mouse,mWT,2822.021726
mCSF1,22.22,96,Mouse,mWT,1070.976314
mCSF1,7.41,96,Mouse,mWT,338.527118
mCSF1,2.47,96,Mouse,mWT,214.323776
mCSF1,0.82,96,Mouse,mWT,213.91541
mCSF1,0.27,96,Mouse,mWT,178.791748
mCSF1,0.09,96,Mouse,mWT,162.47801
mCSF1,0.03,96,Mouse,mWT,159.072351
mCSF1,0.01,96,Mouse,mWT,139.633346
PLX3397,20000,96,Mouse,mWT,662.457112
PLX3397,6666.67,96,Mouse,mWT,465.246266
PLX3397,2222.22,96,Mouse,mWT,232.640531
PLX3397,740.74,96,Mouse,mWT,130.957227
PLX3397,246.91,96,Mouse,mWT,131.722919
PLX3397,82.3,96,Mouse,mWT,158.177259
PLX3397,27.43,96,Mouse,mWT,246.84666
PLX3397,9.14,96,Mouse,mWT,428.506497
PLX3397,3.05,96,Mouse,mWT,706.891495
PLX3397,1.02,96,Mouse,mWT,822.459305
PLX3397,20000,96,Mouse,mWT,456.574108
PLX3397,6666.67,96,Mouse,mWT,319.409644
PLX3397,2222.22,96,Mouse,mWT,141.359197
PLX3397,740.74,96,Mouse,mWT,91.283607
PLX3397,246.91,96,Mouse,mWT,77.984197
PLX3397,82.3,96,Mouse,mWT,91.223911
PLX3397,27.43,96,Mouse,mWT,150.456188
PLX3397,9.14,96,Mouse,mWT,378.030881
PLX3397,3.05,96,Mouse,mWT,558.073502
PLX3397,1.02,96,Mouse,mWT,683.072678
